0	Date	Open	High	Low	Close	
	2023-10-27	32358.2	32466.59	31636.34	32099.63	
	2023-10-26	32683.37	33035.06	32052.25	32358.18	
	2023-10-25	32032.5	33238.96	31840.23	32689.87	
	2023-10-24	30994.93	33009.03	30783.94	32031.74	
	2023-10-23	28351.52	32832.0	28252.03	30992.13	
	2023-10-22	28277.56	28578.99	28019.38	28345.39	
	2023-10-21	28039.76	28698.18	27848.64	28280.73	
	2023-10-20	27164.16	28565.41	27074.74	28035.9	
	2023-10-19	26907.08	27316.63	26720.11	27166.72	
	2023-10-18	26885.84	27422.14	26714.84	26908.68	
	2023-10-17	27044.15	27134.3	26628.01	26892.39	
	2023-10-16	25841.18	28597.43	25806.0	27047.14	
	2023-10-15	25593.8	25965.87	25555.8	25831.52	
	2023-10-14	25583.8	25705.98	25545.0	25593.88	
	2023-10-13	25411.26	25833.69	25388.81	25583.59	
	2023-10-12	25316.94	25435.15	25130.81	25413.17	
	2023-10-11	25845.49	25919.95	25071.76	25318.58	
	2023-10-10	26103.47	26246.2	25779.64	25846.3	
	2023-10-09	26460.71	26528.33	25879.17	26101.17	
	2023-10-08	26466.78	26592.13	26216.5	26457.16	
	2023-10-07	26427.47	26522.49	26347.6	26465.36	
	2023-10-06	26018.62	26746.21	25927.02	26429.94	
	2023-10-05	26464.63	26738.05	25988.74	26012.81	
	2023-10-04	26214.3	26509.71	26000.0	26464.64	
	2023-10-03	26251.41	26439.38	25975.57	26216.8	
	2023-10-02	26521.07	27174.83	26071.69	26255.3	
	2023-10-01	25534.98	26666.55	25526.86	26519.71	
	2023-09-30	25471.09	25647.44	25446.45	25534.98	
	2023-09-29	25607.86	25710.2	25223.49	25469.98	
	2023-09-28	25105.69	25838.63	25060.22	25604.18	
	2023-09-27	24811.45	25459.99	24803.78	25099.43	
	2023-09-26	24844.53	24956.29	24663.13	24809.95	
	2023-09-25	24670.67	24981.41	24425.06	24844.53	
	2023-09-24	25005.92	25153.47	24565.04	24677.93	
	2023-09-23	25009.44	25056.88	24946.39	25006.9	
	2023-09-22	24940.17	25127.38	24871.0	25009.44	
	2023-09-21	25495.42	25558.96	24790.08	24945.14	
	2023-09-20	25517.74	25668.53	25106.11	25493.15	
	2023-09-19	25060.09	25750.82	24971.46	25507.2	
	2023-09-18	24876.69	25749.89	24742.8	25066.62	
	2023-09-17	24920.16	24970.5	24734.65	24873.85	
	2023-09-16	24990.7	25147.08	24826.11	24920.43	
	2023-09-15	24968.3	25251.87	24604.16	24990.86	
	2023-09-14	24474.3	25262.09	24370.94	24965.7	
	2023-09-13	24054.43	24618.55	23987.72	24475.15	
	2023-09-12	23468.53	24767.74	23441.13	24054.01	
	2023-09-11	24152.48	24196.29	23222.0	23468.24	
	2023-09-10	24249.98	24362.29	23959.22	24150.91	
	2023-09-09	24258.74	24282.47	24150.01	24248.74	
	2023-09-08	24564.2	24709.59	24008.27	24259.22	
	2023-09-07	24052.92	24726.55	23979.1	24562.82	
	2023-09-06	24084.06	24278.5	23699.01	24052.92	
	2023-09-05	23958.65	24187.98	23740.5	24084.06	
